Created As Omnic File,BIOL 001
Raman Shift / cm-1,INT
1900.87,-46
1899.91,-59
1898.95,-112
1897.98,-133
1897.02,-81
1896.05,0
1895.09,38
1894.13,14
1893.16,-9
1892.20,-6
1891.23,-22
1890.27,-69
1889.30,-108
1888.34,-102
1887.38,-58
1886.41,-21
1885.45,-0
1884.48,21
1883.52,13
1882.55,-56
1881.59,-127
1880.63,-132
1879.66,-95
1878.70,-62
1877.73,-55
1876.77,-89
1875.80,-140
1874.84,-144
1873.88,-76
1872.91,19
1871.95,73
1870.98,52
1870.02,-27
1869.06,-92
1868.09,-80
1867.13,-28
1866.16,-1
1865.20,8
1864.23,3
1863.27,-27
1862.31,-63
1861.34,-95
1860.38,-132
1859.41,-161
1858.45,-143
1857.48,-79
1856.52,-27
1855.56,-14
1854.59,-10
1853.63,11
1852.66,40
1851.70,57
1850.73,16
1849.77,-58
1848.81,-82
1847.84,-44
1846.88,27
1845.91,80
1844.95,96
1843.98,107
1843.02,127
1842.06,157
1841.09,189
1840.13,151
1839.16,31
1838.20,-73
1837.24,-98
1836.27,-58
1835.31,15
1834.34,78
1833.38,89
1832.41,50
1831.45,-14
1830.49,-80
1829.52,-118
1828.56,-110
1827.59,-66
1826.63,-13
1825.66,31
1824.70,79
1823.74,115
1822.77,108
1821.81,87
1820.84,47
1819.88,-17
1818.91,-43
1817.95,-26
1816.99,-14
1816.02,-22
1815.06,-23
1814.09,-0
1813.13,26
1812.17,49
1811.20,87
1810.24,128
1809.27,132
1808.31,98
1807.34,84
1806.38,117
1805.42,136
1804.45,99
1803.49,40
1802.52,8
1801.56,15
1800.59,22
1799.63,21
1798.67,37
1797.70,74
1796.74,116
1795.77,130
1794.81,97
1793.84,75
1792.88,103
1791.92,122
1790.95,92
1789.99,52
1789.02,18
1788.06,-24
1787.10,-71
1786.13,-100
1785.17,-75
1784.20,13
1783.24,126
1782.27,177
1781.31,140
1780.35,94
1779.38,66
1778.42,43
1777.45,51
1776.49,79
1775.52,79
1774.56,37
1773.60,-29
1772.63,-93
1771.67,-126
1770.70,-102
1769.74,-25
1768.77,63
1767.81,111
1766.85,101
1765.88,52
1764.92,-17
1763.95,-66
1762.99,-40
1762.03,20
1761.06,69
1760.10,110
1759.13,97
1758.17,5
1757.20,-116
1756.24,-181
1755.28,-166
1754.31,-111
1753.35,-47
1752.38,19
1751.42,51
1750.45,26
1749.49,-8
1748.53,3
1747.56,43
1746.60,77
1745.63,79
1744.67,48
1743.70,28
1742.74,43
1741.78,63
1740.81,64
1739.85,48
1738.88,35
1737.92,20
1736.96,0
1735.99,0
1735.03,15
1734.06,25
1733.10,52
1732.13,102
1731.17,128
1730.21,132
1729.24,165
1728.28,222
1727.31,257
1726.35,246
1725.38,196
1724.42,108
1723.46,14
1722.49,-32
1721.53,-18
1720.56,44
1719.60,127
1718.63,177
1717.67,180
1716.71,164
1715.74,142
1714.78,109
1713.81,84
1712.85,85
1711.89,100
1710.92,104
1709.96,93
1708.99,78
1708.03,63
1707.06,44
1706.10,22
1705.14,15
1704.17,53
1703.21,106
1702.24,115
1701.28,98
1700.31,99
1699.35,121
1698.39,138
1697.42,132
1696.46,93
1695.49,27
1694.53,-23
1693.56,-22
1692.60,-1
1691.64,19
1690.67,61
1689.71,84
1688.74,85
1687.78,95
1686.81,103
1685.85,92
1684.89,75
1683.92,65
1682.96,46
1681.99,3
1681.03,-39
1680.07,-41
1679.10,0
1678.14,59
1677.17,126
1676.21,179
1675.24,226
1674.28,311
1673.32,370
1672.35,365
1671.39,303
1670.42,185
1669.46,50
1668.49,-27
1667.53,7
1666.57,121
1665.60,238
1664.64,299
1663.67,274
1662.71,164
1661.74,44
1660.78,13
1659.82,47
1658.85,92
1657.89,133
1656.92,127
1655.96,70
1655.00,10
1654.03,-10
1653.07,21
1652.10,79
1651.14,134
1650.17,175
1649.21,200
1648.25,199
1647.28,181
1646.32,181
1645.35,190
1644.39,189
1643.42,185
1642.46,154
1641.50,108
1640.53,84
1639.57,102
1638.60,141
1637.64,161
1636.67,154
1635.71,138
1634.75,125
1633.78,117
1632.82,120
1631.85,143
1630.89,154
1629.93,133
1628.96,93
1628.00,37
1627.03,-15
1626.07,-28
1625.10,-15
1624.14,0
1623.18,20
1622.21,37
1621.25,40
1620.28,37
1619.32,34
1618.35,-1
